項目名稱,次分類,單價,供應狀態,類別,運費,報價單價
扭曲筆,塑膠綜合,14.5,有現貨,綜合類,1,30
鍊與環(大),塑膠綜合,7.5,有現貨,綜合類,1,16
鍊與環(小),塑膠綜合,4.5,有現貨,綜合類,1,10
鈔票變信用卡,塑膠綜合,7.5,有現貨,綜合類,1,16
消失牌盒,塑膠綜合,12.5,有現貨,綜合類,1,26
紙袋花箱(小),塑膠綜合,27.5,有現貨,綜合類,1,56
籌碼變色,塑膠綜合,14.5,有現貨,綜合類,1,30
魔繩移位,塑膠綜合,7.5,有現貨,綜合類,1,16
拾來運轉,塑膠綜合,14.5,有現貨,綜合類,1,30
小丑靈動火柴盒,塑膠綜合,19.5,有現貨,綜合類,1,40
百變XX鑽石棒,塑膠綜合,15.5,有現貨,綜合類,1,32
海棉愛心(一大四小),塑膠綜合,15.5,庫存少,綜合類,1,32
海棉兔(一大四小),塑膠綜合,15.5,庫存少,綜合類,1,32
海棉球圓變方(二圓一方),塑膠綜合,14.5,有現貨,綜合類,1,30
爆炸骰(大),塑膠綜合,13.5,有現貨,綜合類,1,28
幻覺鉛筆,塑膠綜合,3.5,有現貨,綜合類,1,8
四連環,鈔票,13.5,有現貨,綜合類,1,28
精靈小手(附硬幣),硬幣,11.5,有現貨,綜合類,1,24
火柴棒漂浮,卡紙,4.5,有現貨,綜合類,1,10
智慧彈簧,塑膠綜合,4.5,有現貨,綜合類,1,10
0.5MM彈力線5米,硬幣,7.5,有現貨,綜合類,1,16
彈力隱線圈(5組),塑膠綜合,14.5,有現貨,綜合類,1,30
UFO,塑膠綜合,9.5,有現貨,綜合類,1,20
報紙遁水,塑膠綜合,14.5,庫存少,綜合類,1,30
